timestamp,counts
2023-05-31T00:00:00+02:00,4794
2023-06-01T00:00:00+02:00,4895
2023-06-02T00:00:00+02:00,4761
2023-06-03T00:00:00+02:00,4178
2023-06-04T00:00:00+02:00,4574
2023-06-05T00:00:00+02:00,4776
2023-06-06T00:00:00+02:00,5388
2023-06-07T00:00:00+02:00,5651
2023-06-08T00:00:00+02:00,4175
2023-06-09T00:00:00+02:00,5489
2023-06-10T00:00:00+02:00,5124
2023-06-11T00:00:00+02:00,5142
2023-06-12T00:00:00+02:00,7072
2023-06-13T00:00:00+02:00,7439
2023-06-14T00:00:00+02:00,7558
2023-06-15T00:00:00+02:00,7375
2023-06-16T00:00:00+02:00,7105
2023-06-17T00:00:00+02:00,5968
2023-06-18T00:00:00+02:00,5482
2023-06-19T00:00:00+02:00,6709
2023-06-20T00:00:00+02:00,7171
2023-06-21T00:00:00+02:00,6696
2023-06-22T00:00:00+02:00,6138
2023-06-23T00:00:00+02:00,6265
2023-06-24T00:00:00+02:00,5655
2023-06-25T00:00:00+02:00,5321
2023-06-26T00:00:00+02:00,7220
2023-06-27T00:00:00+02:00,6859
2023-06-28T00:00:00+02:00,6940
2023-06-29T00:00:00+02:00,7200
2023-06-30T00:00:00+02:00,4647
2023-07-01T00:00:00+02:00,4936
2023-07-02T00:00:00+02:00,5164
2023-07-03T00:00:00+02:00,6842
2023-07-04T00:00:00+02:00,7103
2023-07-05T00:00:00+02:00,6476
2023-07-06T00:00:00+02:00,7744
2023-07-07T00:00:00+02:00,7399
2023-07-08T00:00:00+02:00,5890
2023-07-09T00:00:00+02:00,4965
2023-07-10T00:00:00+02:00,6949
2023-07-11T00:00:00+02:00,7424
2023-07-12T00:00:00+02:00,829
2023-07-14T00:00:00+02:00,5493
2023-07-15T00:00:00+02:00,5551
2023-07-16T00:00:00+02:00,4555
2023-07-17T00:00:00+02:00,6959
2023-07-18T00:00:00+02:00,6801
2023-07-19T00:00:00+02:00,7267
2023-07-20T00:00:00+02:00,6970
2023-07-21T00:00:00+02:00,6040
2023-07-22T00:00:00+02:00,5443
2023-07-23T00:00:00+02:00,5018
2023-07-24T00:00:00+02:00,5189
2023-07-25T00:00:00+02:00,4679
2023-07-26T00:00:00+02:00,4928
2023-07-27T00:00:00+02:00,4703
2023-07-28T00:00:00+02:00,4291
2023-07-29T00:00:00+02:00,3272
2023-07-30T00:00:00+02:00,4006
2023-07-31T00:00:00+02:00,5118
2023-08-01T00:00:00+02:00,4068
2023-08-02T00:00:00+02:00,3679
2023-08-03T00:00:00+02:00,4830
2023-08-04T00:00:00+02:00,3827
2023-08-05T00:00:00+02:00,3666
2023-08-06T00:00:00+02:00,1251
2023-08-07T00:00:00+02:00,3837
2023-08-08T00:00:00+02:00,4603
2023-08-09T00:00:00+02:00,4392
2023-08-10T00:00:00+02:00,5261
2023-08-11T00:00:00+02:00,5120
2023-08-12T00:00:00+02:00,3343
